tid,toi,tfopwg_disp,st_tmag,pl_orbper,pl_trandep,pl_tranmid,pl_trandurh
198241702,1269.02,PC,10.9897,9.2378703,660.0,2459739.097032,2.535
234523599,127.01,CP,14.1266,3.7955178,52278.9940979,2458325.650603,2.0198135
237200747,1270.01,FP,11.463,14.3034613,48840.0,2459695.445887,3.135
286923464,1271.01,KP,7.4556,6.1349783,3860.0,2459657.449461,5.661
417948359,1272.01,CP,11.0244,3.3159772,2770.0,2459661.401357,1.494
445859771,1273.01,CP,10.418,4.6313014,4860.0,2459684.920137,1.435
459969957,1274.01,PC,11.8994,19.3203478,13910.0,2459736.340774,4.215
13499636,1275.01,FA,10.5954,11.3246821,1937.5829721,2458714.596964,5.9704136
43064903,1276.01,FA,12.5405,6.261169,4005.022808,2459770.682182,2.0369188
153949511,1277.01,FA,9.76775,,1405.9675071,2458729.542462,4.6
153949511,1277.02,PC,9.76775,14.8559691,1127.0,2460319.121018,3.711
163539739,1278.01,CP,11.7819,14.4751062,9618.5798534,2459826.540249,1.6182484
224297258,1279.01,CP,9.99454,9.6141636,933.6532689,2459659.673503,3.4271882
391949880,128.01,CP,7.9849,4.9404714,455.0,2460175.867159,1.954
230017324,1280.01,PC,10.6355,9.6926392,1838.2370548,2458691.302548,3.0182304
232971294,1281.01,PC,9.6635,6.390888,435.0,2460351.314066,3.766
236445129,1282.01,KP,11.4373,0.9689927,13532.9710157,2459445.892853,2.5496309
266593143,1283.01,KP,9.7525,10.338505,18162.0,2460539.055031,4.242
267561446,1284.01,FP,12.5313,1.283251,1961.318203,2458711.815604,2.012261
274662200,1285.01,FP,10.9313,1.2284388,1229.4965125,2458712.3664,1.9190118
277507814,1286.01,APC,10.1653,0.6166953,1089.0,2460559.148579,0.712
352764091,1287.01,PC,8.593,9.6001126,380.4193796,2459828.256927,4.9882857
365733349,1288.01,CP,9.93119,2.6998294,2798.0,2460445.649979,2.208
408203470,1289.01,FP,12.9984,0.581322,3206.6010016,2458711.410631,1.3261177
158170594,1240.01,KP,13.8046,1.7208555,10014.2587401,2459421.32991,1.8346409
159107668,1241.01,PC,11.1634,4.7802597,1015.4550043,2459421.236112,1.4588658
198212955,1242.01,PC,11.598,0.3814849,570.0,2459664.126568,0.565
219698776,1243.01,CP,11.1966,4.6595169,1725.1706259,2459598.143164,0.9011821
219850915,1244.01,CP,11.0157,6.4002807,1026.6018729,2459913.810947,2.1559875
229781583,1245.01,PC,12.1819,4.8204512,1930.0,2459764.329317,1.756
230127302,1246.01,CP,11.1802,18.6548829,1495.4449473,2459733.643821,5.4431451
230127302,1246.02,CP,11.1802,4.3074513,1094.8419495,2459737.587215,2.3379196
230127302,1246.03,CP,11.1802,5.9041278,773.9266468,2459740.304262,2.7678313
230127302,1246.04,CP,11.1802,37.9251983,1370.7888539,2458700.697302,3.5345219
232540264,1247.01,CP,8.4724,15.9234883,493.0,2460311.844914,4.021
232612416,1248.01,CP,11.1153,4.3601536,5592.2909183,2458687.1215,2.3408909
232976128,1249.01,CP,10.2108,13.0791581,1143.0,2460342.349121,2.97
52368076,125.01,CP,10.1985,4.6517186,978.0,2460206.744249,2.709
52368076,125.02,CP,10.1985,9.1549418,1101.0,2460202.049893,2.457
52368076,125.03,CP,10.1985,19.9815709,909.0,2460181.146579,2.724
52368076,125.04,PC,10.1985,,738.7670156,2460188.729278,4.6235211
233059608,1250.01,FA,6.895,1.4415044,547.3172736,2458683.642967,0.9274524
233120979,1251.01,APC,10.6479,5.9630544,11000.0,2459759.178675,2.951
233211762,1252.01,PC,12.0623,1.1219715,3997.6445916,2459662.042876,0.8226121
233684822,1253.01,FP,9.89947,4.6756655,738.0,2460658.633557,1.914
